2025-02-08 14:41:34 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10001 | อารมณ์: 55.55%
2025-02-08 14:41:34 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10001 | อารมณ์: 55.55%
2025-02-08 14:41:36 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 51.83%
2025-02-08 14:41:36 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 51.83%
2025-02-08 14:41:36 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10003 | อารมณ์: 79.15%
2025-02-08 14:41:36 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10003 | อารมณ์: 79.15%
2025-02-08 14:41:38 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 66.29%
2025-02-08 14:41:38 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 66.29%
2025-02-08 14:41:38 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10003 | อารมณ์: 58.43%
2025-02-08 14:41:38 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10003 | อารมณ์: 58.43%
2025-02-08 14:42:18 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20004 | อารมณ์: 44.76%
2025-02-08 14:42:18 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20004 | อารมณ์: 44.76%
2025-02-08 14:42:18 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20004 | อารมณ์: 86.66%
2025-02-08 14:42:18 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20004 | อารมณ์: 86.66%
2025-02-08 14:42:18 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20003 | อารมณ์: 82.08%
2025-02-08 14:42:18 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20003 | อารมณ์: 82.08%
2025-02-08 14:42:18 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20002 | อารมณ์: 80.70%
2025-02-08 14:42:19 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20002 | อารมณ์: 80.70%
2025-02-08 14:42:19 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20001 | อารมณ์: 79.59%
2025-02-08 14:42:19 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 20001 | อารมณ์: 79.59%
2025-02-08 14:42:42 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 75.44%
2025-02-08 14:42:43 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 75.44%
2025-02-08 14:42:43 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 76.75%
2025-02-08 14:42:43 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 76.75%
2025-02-08 14:42:43 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 71.88%
2025-02-08 14:42:43 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 71.88%
2025-02-08 14:42:44 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10004 | อารมณ์: 50.65%
2025-02-08 14:42:44 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10004 | อารมณ์: 50.65%
2025-02-08 14:42:44 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10001 | อารมณ์: 56.56%
2025-02-08 14:42:44 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10001 | อารมณ์: 56.56%
2025-02-08 14:42:45 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10002 | อารมณ์: 75.12%
2025-02-08 14:42:45 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10002 | อารมณ์: 75.12%
2025-02-08 14:42:45 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 76.54%
2025-02-08 14:42:45 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 76.54%
2025-02-08 14:42:46 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10003 | อารมณ์: 70.27%
2025-02-08 14:42:46 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10003 | อารมณ์: 70.27%
2025-02-08 14:42:46 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10001 | อารมณ์: 74.72%
2025-02-08 14:42:46 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10001 | อารมณ์: 74.72%
2025-02-08 14:42:47 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 50.64%
2025-02-08 14:42:47 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 50.64%
2025-02-08 14:42:48 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 60.96%
2025-02-08 14:42:48 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10005 | อารมณ์: 60.96%
2025-02-08 14:47:35 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10002 | อารมณ์: 69.54%
2025-02-08 14:47:35 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10002 | อารมณ์: 69.54%
2025-02-08 14:47:35 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10002 | อารมณ์: 78.32%
2025-02-08 14:47:35 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10002 | อารมณ์: 78.32%
2025-02-08 14:47:35 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10004 | อารมณ์: 79.08%
2025-02-08 14:47:35 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10004 | อารมณ์: 79.08%
2025-02-08 14:47:36 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30002 | อารมณ์: 85.92%
2025-02-08 14:47:36 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30002 | อารมณ์: 85.92%
2025-02-08 14:47:37 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30005 | อารมณ์: 95.57%
2025-02-08 14:47:37 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30005 | อารมณ์: 95.57%
2025-02-08 14:47:37 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30005 | อารมณ์: 38.57%
2025-02-08 14:47:37 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30005 | อารมณ์: 38.57%
2025-02-08 14:47:37 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30001 | อารมณ์: 34.15%
2025-02-08 14:47:37 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30001 | อารมณ์: 34.15%
2025-02-08 14:47:38 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30003 | อารมณ์: 33.07%
2025-02-08 14:47:38 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30003 | อารมณ์: 33.07%
2025-02-08 14:47:38 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30005 | อารมณ์: 38.17%
2025-02-08 14:47:38 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30005 | อารมณ์: 38.17%
2025-02-08 14:47:39 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30004 | อารมณ์: 20.65%
2025-02-08 14:47:39 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30004 | อารมณ์: 20.65%
2025-02-08 14:47:39 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30003 | อารมณ์: 45.04%
2025-02-08 14:47:39 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30003 | อารมณ์: 45.04%
2025-02-08 14:47:39 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30004 | อารมณ์: 38.69%
2025-02-08 14:47:39 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30004 | อารมณ์: 38.69%
2025-02-08 14:47:39 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30003 | อารมณ์: 25.78%
2025-02-08 14:47:40 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30003 | อารมณ์: 25.78%
2025-02-08 14:47:40 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30005 | อารมณ์: 23.23%
2025-02-08 14:47:40 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 30005 | อารมณ์: 23.23%
2025-02-08 14:56:22 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10003 | อารมณ์: 65.96%
2025-02-08 14:56:22 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10003 | อารมณ์: 65.96%
2025-02-08 15:27:29 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 80531 | อารมณ์: 71.21%
2025-02-08 15:27:30 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 80531 | อารมณ์: 71.21%
2025-02-08 15:27:35 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 53691 | อารมณ์: 54.72%
2025-02-08 15:27:35 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 53691 | อารมณ์: 54.72%
2025-02-08 15:27:38 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 80531 | อารมณ์: 78.51%
2025-02-08 15:27:38 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 80531 | อารมณ์: 78.51%
2025-02-08 15:27:39 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 53691 | อารมณ์: 75.30%
2025-02-08 15:27:39 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 53691 | อารมณ์: 75.30%
2025-02-08 15:27:40 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 96864 | อารมณ์: 72.43%
2025-02-08 15:27:40 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 96864 | อารมณ์: 72.43%
2025-02-08 15:27:47 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60143 | อารมณ์: 63.75%
2025-02-08 15:27:47 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60143 | อารมณ์: 63.75%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60143 | อารมณ์: 54.88%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60143 | อารมณ์: 54.88%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 73885 | อารมณ์: 37.14%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 73885 | อารมณ์: 37.14%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60658 | อารมณ์: 46.33%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60658 | อารมณ์: 46.33%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 14252 | อารมณ์: 28.03%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 14252 | อารมณ์: 28.03%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60658 | อารมณ์: 23.19%
2025-02-08 15:27:48 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60658 | อารมณ์: 23.19%
2025-02-08 15:27:49 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 37932 | อารมณ์: 40.63%
2025-02-08 15:27:49 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 37932 | อารมณ์: 40.63%
2025-02-08 15:27:49 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 73885 | อารมณ์: 42.34%
2025-02-08 15:27:49 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 73885 | อารมณ์: 42.34%
2025-02-08 15:27:49 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 31547 | อารมณ์: 46.94%
2025-02-08 15:27:49 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 31547 | อารมณ์: 46.94%
2025-02-08 15:27:49 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 15291 | อารมณ์: 27.70%
2025-02-08 15:27:49 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 15291 | อารมณ์: 27.70%
2025-02-08 15:27:50 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 45277 | อารมณ์: 34.31%
2025-02-08 15:27:50 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 45277 | อารมณ์: 34.31%
2025-02-08 15:27:50 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60143 | อารมณ์: 49.75%
2025-02-08 15:27:50 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 60143 | อารมณ์: 49.75%
2025-02-08 15:27:52 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 31395 | อารมณ์: 45.37%
2025-02-08 15:27:52 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 31395 | อารมณ์: 45.37%
2025-02-08 15:27:54 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 46236 | อารมณ์: 95.64%
2025-02-08 15:27:54 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 46236 | อารมณ์: 95.64%
2025-02-08 15:27:54 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86486 | อารมณ์: 91.61%
2025-02-08 15:27:54 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86486 | อารมณ์: 91.61%
2025-02-08 15:27:55 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86486 | อารมณ์: 72.45%
2025-02-08 15:27:55 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86486 | อารมณ์: 72.45%
2025-02-08 15:27:56 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35202 | อารมณ์: 74.32%
2025-02-08 15:27:56 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35202 | อารมณ์: 74.32%
2025-02-08 15:27:56 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 90453 | อารมณ์: 72.95%
2025-02-08 15:27:56 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 90453 | อารมณ์: 72.95%
2025-02-08 15:27:56 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 84730 | อารมณ์: 72.23%
2025-02-08 15:27:56 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 84730 | อารมณ์: 72.23%
2025-02-08 15:27:57 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 29780 | อารมณ์: 96.20%
2025-02-08 15:27:57 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 29780 | อารมณ์: 96.20%
2025-02-08 15:27:57 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86486 | อารมณ์: 71.81%
2025-02-08 15:27:57 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86486 | อารมณ์: 71.81%
2025-02-08 15:27:57 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 83689 | อารมณ์: 84.41%
2025-02-08 15:27:57 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 83689 | อารมณ์: 84.41%
2025-02-08 15:27:57 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 50671 | อารมณ์: 82.25%
2025-02-08 15:27:57 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 50671 | อารมณ์: 82.25%
2025-02-08 15:27:58 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 12781 | อารมณ์: 74.04%
2025-02-08 15:27:58 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 12781 | อารมณ์: 74.04%
2025-02-08 15:27:58 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 97377 | อารมณ์: 84.74%
2025-02-08 15:27:58 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 97377 | อารมณ์: 84.74%
2025-02-08 15:27:58 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 81716 | อารมณ์: 87.46%
2025-02-08 15:27:58 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 81716 | อารมณ์: 87.46%
2025-02-08 15:27:58 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 94989 | อารมณ์: 83.03%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 94989 | อารมณ์: 83.03%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 84730 | อารมณ์: 70.06%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 84730 | อารมณ์: 70.06%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35050 | อารมณ์: 82.24%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35050 | อารมณ์: 82.24%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35050 | อารมณ์: 91.34%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35050 | อารมณ์: 91.34%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86194 | อารมณ์: 83.86%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86194 | อารมณ์: 83.86%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 61678 | อารมณ์: 77.42%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 61678 | อารมณ์: 77.42%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 94989 | อารมณ์: 95.03%
2025-02-08 15:27:59 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 94989 | อารมณ์: 95.03%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 81716 | อารมณ์: 78.26%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 81716 | อารมณ์: 78.26%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 46236 | อารมณ์: 87.99%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 46236 | อารมณ์: 87.99%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 17618 | อารมณ์: 79.65%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 17618 | อารมณ์: 79.65%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 46236 | อารมณ์: 92.98%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 46236 | อารมณ์: 92.98%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 97377 | อารมณ์: 72.13%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 97377 | อารมณ์: 72.13%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 46236 | อารมณ์: 82.59%
2025-02-08 15:28:00 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 46236 | อารมณ์: 82.59%
2025-02-08 15:41:43 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 58833 | อารมณ์: 50.35%
2025-02-08 15:41:45 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 95260 | อารมณ์: 60.37%
2025-02-08 15:41:46 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 60979 | อารมณ์: 72.87%
2025-02-08 15:41:46 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69274 | อารมณ์: 60.17%
2025-02-08 15:41:47 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 58833 | อารมณ์: 50.20%
2025-02-08 15:41:47 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69960 | อารมณ์: 72.50%
2025-02-08 15:41:48 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 54480 | อารมณ์: 67.12%
2025-02-08 15:41:48 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69274 | อารมณ์: 69.47%
2025-02-08 15:41:58 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 19350 | อารมณ์: 51.02%
2025-02-08 15:41:59 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 19350 | อารมณ์: 51.02%
2025-02-08 15:42:02 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 55900 | อารมณ์: 71.93%
2025-02-08 15:42:02 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 55900 | อารมณ์: 71.93%
2025-02-08 15:42:05 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 19350 | อารมณ์: 62.29%
2025-02-08 15:42:05 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 19350 | อารมณ์: 62.29%
2025-02-08 15:42:06 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35202 | อารมณ์: 82.30%
2025-02-08 15:42:06 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35202 | อารมณ์: 82.30%
2025-02-08 15:42:06 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 81716 | อารมณ์: 82.01%
2025-02-08 15:42:06 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 81716 | อารมณ์: 82.01%
2025-02-08 15:42:06 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 17618 | อารมณ์: 77.09%
2025-02-08 15:42:06 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 17618 | อารมณ์: 77.09%
2025-02-08 15:42:07 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 38450 | อารมณ์: 78.53%
2025-02-08 15:42:07 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 38450 | อารมณ์: 78.53%
2025-02-08 15:42:08 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 15291 | อารมณ์: 68.98%
2025-02-08 15:42:08 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 15291 | อารมณ์: 68.98%
2025-02-08 15:42:08 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 73885 | อารมณ์: 49.63%
2025-02-08 15:42:08 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 73885 | อารมณ์: 49.63%
2025-02-08 15:42:14 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 17120 | อารมณ์: 43.16%
2025-02-08 15:42:14 | ประเภท: คำถามเชิงอารมณ์ | คำถาม ID: 17120 | อารมณ์: 43.16%
2025-02-08 15:44:17 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 60348 | อารมณ์: 73.36%
2025-02-08 15:44:17 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 60348 | อารมณ์: 73.36%
2025-02-08 15:44:47 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69274 | อารมณ์: 57.58%
2025-02-08 15:44:47 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69274 | อารมณ์: 57.58%
2025-02-08 15:44:49 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 53691 | อารมณ์: 57.53%
2025-02-08 15:44:49 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 53691 | อารมณ์: 57.53%
2025-02-08 15:45:11 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10158 | อารมณ์: 52.33%
2025-02-08 15:45:11 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10158 | อารมณ์: 52.33%
2025-02-08 15:45:12 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69960 | อารมณ์: 64.51%
2025-02-08 15:45:12 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69960 | อารมณ์: 64.51%
2025-02-08 15:45:12 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 82473 | อารมณ์: 61.92%
2025-02-08 15:45:12 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 82473 | อารมณ์: 61.92%
2025-02-08 15:45:13 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69960 | อารมณ์: 69.70%
2025-02-08 15:45:13 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69960 | อารมณ์: 69.70%
2025-02-08 15:51:44 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 80531 | อารมณ์: 50.30%
2025-02-08 15:51:45 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 80531 | อารมณ์: 50.30%
2025-02-08 15:51:45 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 79270 | อารมณ์: 51.03%
2025-02-08 15:51:45 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 79270 | อารมณ์: 51.03%
2025-02-08 15:51:46 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69960 | อารมณ์: 54.17%
2025-02-08 15:51:46 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 69960 | อารมณ์: 54.17%
2025-02-08 15:51:47 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 82473 | อารมณ์: 72.80%
2025-02-08 15:51:47 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 82473 | อารมณ์: 72.80%
2025-02-08 15:51:48 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10158 | อารมณ์: 50.20%
2025-02-08 15:51:48 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 10158 | อารมณ์: 50.20%
2025-02-08 15:51:48 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 54594 | อารมณ์: 60.34%
2025-02-08 15:51:48 | ประเภท: วิทยาศาสตร์ | คำถาม ID: 54594 | อารมณ์: 60.34%
2025-02-08 15:51:50 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35050 | อารมณ์: 83.29%
2025-02-08 15:51:50 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35050 | อารมณ์: 83.29%
2025-02-08 15:51:51 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86194 | อารมณ์: 96.95%
2025-02-08 15:51:51 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 86194 | อารมณ์: 96.95%
2025-02-08 15:51:55 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35202 | อารมณ์: 72.91%
2025-02-08 15:51:55 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 35202 | อารมณ์: 72.91%
2025-02-08 15:51:56 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 23484 | อารมณ์: 98.16%
2025-02-08 15:51:56 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 23484 | อารมณ์: 98.16%
2025-02-08 15:51:58 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 29780 | อารมณ์: 96.29%
2025-02-08 15:51:58 | ประเภท: ความรู้ทั่วไป | คำถาม ID: 29780 | อารมณ์: 96.29%
